file	obj	time_best	time
16_2_0	14	0.000000	600.094
16_2_1	15	0.322766	600.035
16_2_10	15	0.000000	600.007
16_2_11	15	0.000000	600.008
16_2_12	14	0.000000	600.033
16_2_13	14	0.000000	600.031
16_2_14	14	2.715900	600.32
16_2_15	15	0.903051	600.035
16_2_16	16	0.000000	600.215
16_2_17	16	1.816766	600.005
16_2_18	16	0.000000	600.502
16_2_19	15	0.028895	600.089
16_2_2	16	0.053357	600.365
16_2_20	15	0.010973	600.354
16_2_21	15	0.000000	600.023
16_2_22	14	0.000000	600.007
16_2_23	16	3.288077	600.035
16_2_24	14	0.000000	600.036
16_2_25	16	0.000000	600.083
16_2_26	15	0.227012	600.087
16_2_27	14	0.069249	600.095
16_2_28	13	0.000000	600.094
16_2_29	13	0.000000	600.507
16_2_3	11	0.000000	601.213
16_2_30	15	0.779744	600.01
16_2_31	16	0.686192	600.011
16_2_32	13	0.000000	600.027
16_2_33	14	0.000000	600.018
16_2_34	16	1.058324	600.02
16_2_35	15	0.000000	600.492
16_2_36	12	0.000000	600.142
16_2_37	16	0.059412	600.143
16_2_38	16	0.021958	600.394
16_2_39	14	0.000000	600.227
16_2_4	16	0.046218	600.118
16_2_40	13	0.020620	600.002
16_2_41	13	0.026790	600.122
16_2_42	14	0.022432	600.12
16_2_43	16	0.000000	600.036
16_2_44	13	0.928210	600.036
16_2_45	14	0.042199	600.009
16_2_46	15	0.076394	600.011
16_2_47	14	0.000000	600.156
16_2_48	15	0.000000	600.054
16_2_49	13	0.121526	600.049
16_2_5	13	0.000000	600.077
16_2_50	14	1.312121	600.248
16_2_51	16	0.045012	600.039
16_2_52	15	0.000000	600.078
16_2_53	13	0.000000	600.037
16_2_54	16	0.021197	600.008
16_2_55	15	0.000000	600.05
16_2_56	12	0.000000	600.038
16_2_57	14	0.000000	600.044
16_2_58	15	0.127080	600.041
16_2_59	10	0.000000	600.072
16_2_6	15	0.019958	600.028
16_2_60	15	0.000000	600.085
16_2_61	14	0.061492	600.059
16_2_62	16	0.000000	600.015
16_2_63	15	0.656187	600.333
16_2_64	16	0.097492	600.051
16_2_65	16	0.109094	600.461
16_2_66	14	0.144518	600.499
16_2_67	14	0.000000	600.017
16_2_68	15	0.000000	600.103
16_2_69	16	0.144040	600.245
16_2_7	13	0.018703	600.033
16_2_70	16	0.000000	600.241
16_2_71	12	0.000000	600.081
16_2_72	14	0.000000	600.102
16_2_73	9	0.000000	600.076
16_2_74	15	0.000000	600.053
16_2_75	13	0.000000	600.149
16_2_76	15	0.020781	600.081
16_2_77	13	0.117209	600.189
16_2_78	14	0.000000	600.036
16_2_79	16	0.841230	600.161
16_2_8	14	0.023084	600.059
16_2_80	16	0.442975	600.031
16_2_81	14	0.043218	600.093
16_2_82	16	0.000000	600.006
16_2_83	16	0.000000	600.015
16_2_84	15	0.000000	600.143
16_2_85	14	0.065860	600.106
16_2_86	11	0.000000	600.009
16_2_87	14	0.213067	600.028
16_2_88	16	0.000000	600.045
16_2_89	13	0.000000	600.019
16_2_9	16	0.061897	600.179
16_2_90	14	0.071992	600.09
16_2_91	14	0.204509	600.253
16_2_92	13	0.000000	600.208
16_2_93	16	0.057038	600.39
16_2_94	15	0.000000	600.236
16_2_95	13	0.000000	600.182
16_2_96	13	0.166504	600.088
16_2_97	16	0.000000	600.16
16_2_98	10	0.000000	600.257
16_2_99	13	0.000000	600.322
16_4_0	14	0.893682	600.195
16_4_1	14	0.000000	600.195
16_4_10	13	0.704081	600.02
16_4_11	13	0.170525	600.088
16_4_12	14	0.160634	600.221
16_4_13	12	0.000000	600.232
16_4_14	14	0.379169	600.219
16_4_15	12	0.000000	600.072
16_4_16	13	1.312353	600.01
16_4_17	14	0.056970	600.097
16_4_18	15	1.537133	600.348
16_4_19	12	1.859449	600.359
16_4_2	13	0.000000	600.24
16_4_20	12	0.060101	600.122
16_4_21	15	0.000000	600.075
16_4_22	14	1.624136	600.196
16_4_23	15	1.534849	600.028
16_4_24	14	0.000000	600.088
16_4_25	15	1.557482	600.249
16_4_26	15	0.103692	600.083
16_4_27	15	0.193771	600.075
16_4_28	15	0.000000	600.048
16_4_29	16	0.000000	600.173
16_4_3	15	0.000000	600.146
16_4_30	14	2.636971	600.065
16_4_31	14	0.000000	600.062
16_4_32	13	0.178396	600.15
16_4_33	14	0.380948	600.079
16_4_34	11	0.000000	600.208
16_4_35	15	0.000000	600.107
16_4_36	13	0.000000	600.114
16_4_37	15	1.087969	600.381
16_4_38	13	0.000000	600.049
16_4_39	12	0.000000	600.067
16_4_4	13	0.000000	600.031
16_4_40	13	0.000000	600.083
16_4_41	12	0.000000	600.238
16_4_42	12	0.000000	600.005
16_4_43	12	0.000000	600.061
16_4_44	13	0.058602	600.022
16_4_45	12	0.000000	600.065
16_4_46	13	0.101189	600.204
16_4_47	14	0.101515	600.378
16_4_48	12	0.114511	600.183
16_4_49	13	0.043575	600.034
16_4_5	13	0.000000	600.147
16_4_50	13	0.000000	600.094
16_4_51	11	0.000000	600.01
16_4_52	15	0.045593	600.082
16_4_53	14	0.114310	600.014
16_4_54	16	0.091891	600.053
16_4_55	13	0.000000	600.018
16_4_56	15	0.021366	600.04
16_4_57	15	0.015571	600.056
16_4_58	14	0.020384	600.061
16_4_59	14	0.000000	600.056
16_4_6	11	0.019613	600.033
16_4_60	14	0.021551	600
16_4_61	14	0.000000	600.052
16_4_62	13	0.000000	600.08
16_4_63	14	0.359305	600.033
16_4_64	15	0.069478	600.061
16_4_65	13	0.000000	600.005
16_4_66	12	0.000000	600.08
16_4_67	16	0.000000	600.032
16_4_68	16	0.054553	600.067
16_4_69	13	0.000000	600.02
16_4_7	14	0.141099	600.094
16_4_70	13	0.043713	600.001
16_4_71	15	1.812172	600.066
16_4_72	14	0.000000	600.052
16_4_73	15	0.103321	600.027
16_4_74	16	0.103241	600.096
16_4_75	14	0.000000	600.029
16_4_76	10	0.072519	600.059
16_4_77	14	0.000000	600.003
16_4_78	15	0.000000	600.198
16_4_79	14	1.884154	600.096
16_4_8	13	0.000000	600.079
16_4_80	14	0.108754	600.059
16_4_81	11	0.000000	600
16_4_82	14	0.000000	600.019
16_4_83	13	0.117483	600.435
16_4_84	15	0.078085	600.293
16_4_85	14	0.295049	600.005
16_4_86	13	0.000000	600.121
16_4_87	11	0.000000	600.15
16_4_88	12	0.112455	600.112
16_4_89	14	0.000000	600.003
16_4_9	12	0.000000	600.044
16_4_90	15	0.000000	600.027
16_4_91	14	0.000000	600.578
16_4_92	12	0.154690	600.037
16_4_93	14	0.248411	600.042
16_4_94	15	0.086567	600.124
16_4_95	14	0.000000	600.104
16_4_96	16	0.463510	600.247
16_4_97	16	0.000000	600.102
16_4_98	15	1.343847	600.188
16_4_99	15	0.033171	600.081
16_8_0	12	0.000000	600.042
16_8_1	12	0.000000	600.044
16_8_10	14	0.000000	600.076
16_8_11	11	0.000000	600.064
16_8_12	14	0.067957	600.041
16_8_13	12	0.048687	600.032
16_8_14	11	0.000000	600.018
16_8_15	12	0.085356	600.015
16_8_16	13	0.000000	600.023
16_8_17	14	0.027573	600.044
16_8_18	12	0.083356	600.019
16_8_19	14	0.094837	600.094
16_8_2	14	0.000000	600.468
16_8_20	13	0.485896	600.075
16_8_21	13	0.000000	600.051
16_8_22	14	0.000000	600.037
16_8_23	12	0.000000	600.052
16_8_24	9	0.081755	600.062
16_8_25	13	0.000000	600.039
16_8_26	14	0.086644	600.034
16_8_27	13	0.000000	600.03
16_8_28	13	0.000000	600.004
16_8_29	12	0.000000	600.049
16_8_3	14	0.000000	600.035
16_8_30	13	0.000000	600.063
16_8_31	13	0.094813	600.107
16_8_32	12	0.000000	600.058
16_8_33	15	0.178284	600.112
16_8_34	11	0.000000	600.044
16_8_35	15	0.108157	600.024
16_8_36	12	0.000000	600.07
16_8_37	13	0.000000	600.066
16_8_38	14	0.000000	600.109
16_8_39	13	0.000000	600.204
16_8_4	15	0.135979	600.061
16_8_40	13	0.061808	600.085
16_8_41	13	0.650842	600.015
16_8_42	13	0.060031	600.072
16_8_43	13	0.000000	600.209
16_8_44	11	0.000000	600.023
16_8_45	10	0.000000	600.077
16_8_46	11	0.078941	600.037
16_8_47	15	2.228208	600.19
16_8_48	10	0.000000	600.092
16_8_49	13	0.932340	600.024
16_8_5	15	0.000000	600.089
16_8_50	14	0.000000	600.031
16_8_51	13	0.000000	600.003
16_8_52	13	0.000000	600.039
16_8_53	13	0.466486	600.095
16_8_54	16	0.351604	600.058
16_8_55	13	0.000000	600.075
16_8_56	10	0.000000	600.179
16_8_57	10	1.122559	600.001
16_8_58	14	0.000000	600.142
16_8_59	16	0.176046	600.087
16_8_6	13	0.000000	600.139
16_8_60	9	0.000000	600.428
16_8_61	13	0.283008	600.105
16_8_62	11	0.000000	600.055
16_8_63	15	0.009227	600.352
16_8_64	14	0.081032	600.094
16_8_65	15	0.067973	600.123
16_8_66	12	0.000000	600.018
16_8_67	12	0.087789	600.004
16_8_68	14	0.616375	600.111
