file	obj	status	gap	time
16_2_0	14	2	0	0.0977419
16_2_1	15	2	0	0.0951715
16_2_10	15	2	0	0.0932763
16_2_11	15	2	0	0.0942396
16_2_12	14	2	0	0.104903
16_2_13	14	2	0	0.0911879
16_2_14	14	2	0	0.093396
16_2_15	15	2	0	0.0976874
16_2_16	16	2	0	0.106176
16_2_17	16	2	0	0.0933636
16_2_18	16	2	0	0.0941143
16_2_19	15	2	0	0.00876952
16_2_2	16	2	0	0.0129689
16_2_20	15	2	0	0.0107369
16_2_21	15	2	0	0.0121654
16_2_22	14	2	0	0.0151641
16_2_23	16	2	0	0.0328094
16_2_24	14	2	0	0.0178473
16_2_25	16	2	0	0.0123782
16_2_26	15	2	0	0.0406804
16_2_27	14	2	0	0.0130895
16_2_28	13	2	0	0.0126639
16_2_29	13	2	0	0.0163254
16_2_3	11	2	0	0.00945912
16_2_30	15	2	0	0.0143386
16_2_31	16	2	0	0.0176407
16_2_32	13	2	0	0.0116857
16_2_33	14	2	0	0.00977659
16_2_34	16	2	0	0.0381839
16_2_35	15	2	0	0.0139571
16_2_36	12	2	0	0.0123862
16_2_37	16	2	0	0.0339574
16_2_38	16	2	0	0.0219943
16_2_39	14	2	0	0.0906706
16_2_4	16	2	0	0.0941409
16_2_40	13	2	0	0.0952306
16_2_41	13	2	0	0.010994
16_2_42	14	2	0	0.0254241
16_2_43	16	2	0	0.0188576
16_2_44	13	2	0	0.0159307
16_2_45	14	2	0	0.0155837
16_2_46	15	2	0	0.0148884
16_2_47	14	2	0	0.0164409
16_2_48	15	2	0	0.0173767
16_2_49	13	2	0	0.0153296
16_2_5	13	2	0	0.0113092
16_2_50	14	2	0	0.0126559
16_2_51	16	2	0	0.020466
16_2_52	15	2	0	0.0111933
16_2_53	13	2	0	0.00818971
16_2_54	16	2	0	0.0216007
16_2_55	15	2	0	0.012009
16_2_56	12	2	0	0.0168668
16_2_57	14	2	0	0.0093283
16_2_58	15	2	0	0.0141697
16_2_59	10	2	0	0.00925165
16_2_6	15	2	0	0.0973964
16_2_60	15	2	0	0.0952775
16_2_61	14	2	0	0.0944966
16_2_62	16	2	0	0.0111102
16_2_63	15	2	0	0.0119201
16_2_64	16	2	0	0.0989758
16_2_65	16	2	0	0.0931434
16_2_66	14	2	0	0.0973437
16_2_67	14	2	0	0.0138498
16_2_68	15	2	0	0.00919218
16_2_69	16	2	0	0.0226965
16_2_7	13	2	0	0.0127203
16_2_70	16	2	0	0.0157565
16_2_71	12	2	0	0.00769501
16_2_72	14	2	0	0.00893207
16_2_73	9	2	0	0.0113535
16_2_74	15	2	0	0.0153033
16_2_75	13	2	0	0.0950698
16_2_76	15	2	0	0.016437
16_2_77	13	2	0	0.00876206
16_2_78	14	2	0	0.0122207
16_2_79	16	2	0	0.0236241
16_2_8	14	2	0	0.0173429
16_2_80	16	2	0	0.0172154
16_2_81	14	2	0	0.0180248
16_2_82	16	2	0	0.0193041
16_2_83	16	2	0	0.015035
16_2_84	15	2	0	0.0161897
16_2_85	14	2	0	0.0196561
16_2_86	11	2	0	0.0778852
16_2_87	14	2	0	0.0941327
16_2_88	16	2	0	0.0914938
16_2_89	13	2	0	0.0124814
16_2_9	16	2	0	0.0246695
