file	obj	time
1000_20_5	0	626.897
1000_20_9	0	624.66
200_20_0	166	15.4756
200_20_1	161	12.7301
200_20_2	173	8.01221
200_20_3	156	12.4451
200_20_4	173	2.77429
200_20_5	175	10.0808
200_20_6	170	6.14111
200_20_7	171	4.85585
200_20_8	145	22.3492
200_20_9	176	3.60075
200_4_0	119	607.836
200_4_1	159	606.166
200_4_2	0	722.552
200_4_3	147	606.505
200_4_4	135	607.367
200_4_5	168	606.933
200_4_6	164	606.462
200_4_7	148	610.643
200_4_8	158	607.876
200_4_9	0	615.746
400_20_0	304	604.244
400_20_1	223	605.922
400_20_2	176	612.773
400_20_3	276	605.36
400_20_4	295	603.673
400_20_5	371	263.215
400_20_6	236	606.965
400_20_7	291	602.539
400_20_8	258	605.68
400_20_9	306	603.565
400_4_7	0	642.725
500_20_0	0	705.334
500_20_1	0	713.803
500_20_2	354	607.631
500_20_3	0	742.128
500_20_4	346	609.412
500_20_5	0	616.415
500_20_6	379	607.617
500_20_7	0	638.297
500_20_8	0	615.826
500_20_9	436	460.169
600_20_0	0	625.681
600_20_1	0	611.8
600_20_2	0	628.914
600_20_3	0	609.234
600_20_4	0	627.993
600_20_5	463	609.57
600_20_6	555	572.431
600_20_7	0	637.705
600_20_8	491	604.834
600_20_9	0	616.446
800_20_0	0	637.923
800_20_1	0	639.119
800_20_3	0	627.634
800_20_4	0	618.792
800_20_5	0	639.903
800_20_6	0	622.382
800_20_7	0	635.996
800_20_8	0	638.067
800_20_9	0	619.686
