file	obj	time_best	time
1000_20_0	882	1.917590	602.498
1000_20_1	880	377.211029	601.623
1000_20_2	843	405.331726	601.306
1000_20_3	872	357.930267	604.404
1000_20_4	881	2.669196	601.136
1000_20_5	946	176.933319	604.348
1000_20_6	872	2.384717	603.306
1000_20_7	855	1.910590	601.909
1000_20_8	938	133.951477	600.824
1000_20_9	938	35.737701	603.949
1000_4_0	905	64.607910	600.958
1000_4_1	918	39.857727	600.189
1000_4_2	945	375.768860	601.921
1000_4_3	957	146.260635	602.607
1000_4_4	921	534.231140	600.413
1000_4_5	962	408.814484	600.99
1000_4_6	856	6.081789	600.317
1000_4_7	920	254.054932	602.886
1000_4_8	931	88.933250	601.193
1000_4_9	938	390.247437	601.883
200_20_0	166	0.175404	600.181
200_20_1	161	0.194887	600.147
200_20_2	173	0.164245	600.049
200_20_3	156	1.503055	600.615
200_20_4	173	1.697783	600.258
200_20_5	175	1.503783	600.292
200_20_6	170	1.383928	600.28
200_20_7	171	1.090899	601.36
200_20_8	143	1.190332	600.124
200_20_9	176	0.191951	600.662
200_4_0	186	316.586945	602.347
200_4_1	183	2.360008	601.369
200_4_2	175	4.551491	602.159
200_4_3	178	0.355126	603.307
200_4_4	182	0.291386	602.233
200_4_5	193	9.508119	604.161
200_4_6	189	0.190729	608.442
200_4_7	183	10.953952	600.332
200_4_8	191	6.063142	600.093
200_4_9	185	5.941754	600.88
400_20_0	336	23.516869	600.101
400_20_1	332	5.801093	602.036
400_20_2	297	0.471731	601.473
400_20_3	341	0.670677	603.266
400_20_4	338	0.642015	603.254
400_20_5	371	7.344533	600.174
400_20_6	350	12.912525	601.709
400_20_7	366	0.910684	600.997
400_20_8	334	0.306453	600.982
400_20_9	352	0.452920	600.905
400_4_0	387	113.686005	605.811
400_4_1	370	89.376976	603.502
400_4_2	360	13.326765	603.522
400_4_3	376	18.567068	601.217
400_4_4	381	9.843697	602.789
400_4_5	377	198.036392	602.034
400_4_6	382	43.026836	601.556
400_4_7	391	452.360138	600.244
400_4_8	378	240.943863	600.313
400_4_9	378	163.380096	602.339
500_20_0	438	6.443594	600.672
500_20_1	410	1.657271	600.059
500_20_2	435	0.573597	600.602
500_20_3	435	1.700332	600.021
500_20_4	438	0.599797	600.45
500_20_5	407	8.616968	601.065
500_20_6	458	13.982102	601.474
500_20_7	428	138.208664	606.106
500_20_8	415	2.881508	600.537
500_20_9	436	7.853319	601.387
500_4_0	493	75.233742	602.544
500_4_1	484	446.104187	605.857
500_4_2	441	47.536362	601.928
500_4_3	492	128.633881	602.321
500_4_4	459	29.875706	602.864
500_4_5	473	46.705990	600.573
500_4_6	433	1.462147	600.156
500_4_7	493	332.397369	602.3
500_4_8	470	89.188576	600.661
500_4_9	461	30.900675	601.994
600_20_0	505	5.451082	601.744
600_20_1	519	126.445213	601.335
600_20_2	491	5.181214	600.66
600_20_3	541	11.699337	601.458
600_20_4	525	149.391037	601.424
600_20_5	553	261.156372	600.581
600_20_6	555	23.635508	600.072
600_20_7	517	0.833777	600.963
600_20_8	538	14.763333	602.423
600_20_9	513	2.219868	600.24
600_4_0	576	85.917564	600.497
600_4_1	552	452.381470	608.051
600_4_2	591	60.052132	603.867
600_4_3	551	287.858154	601.237
600_4_4	552	32.531502	603.167
600_4_5	594	1.928357	604.159
600_4_6	563	25.086411	600.036
600_4_7	571	180.493622	601.614
600_4_8	522	6.191799	602.458
600_4_9	578	32.769310	600.463
800_20_0	702	6.555721	600.442
800_20_1	712	147.458984	601.125
800_20_2	648	13.376442	600.681
800_20_3	738	24.733196	600.651
800_20_4	744	585.982910	601.029
800_20_5	713	45.774242	605.601
800_20_6	676	8.407126	601.479
800_20_7	731	17.905972	601.523
800_20_8	700	2.848379	601.963
800_20_9	736	392.792053	602.881
800_4_0	779	108.111580	603.362
800_4_1	697	252.751251	600.096
800_4_2	700	198.805573	603.574
800_4_3	756	49.162598	603.395
800_4_4	738	106.181862	603.346
800_4_5	779	89.565659	604.375
800_4_6	728	396.284088	602.346
800_4_7	715	24.565252	600.559
800_4_8	779	287.984833	604.28
800_4_9	729	53.352295	600.872
