file	obj	time_best	time
1000_20_0	882	11.070794	615.155
1000_20_1	880	262.230011	604.677
1000_20_2	843	38.523712	604.433
1000_20_3	869	314.066864	606.205
1000_20_4	881	123.241402	615.586
1000_20_5	944	453.542694	602.459
1000_20_6	872	1.311072	603.079
1000_20_7	855	22.695780	605.892
1000_20_8	938	112.173828	602.354
1000_20_9	934	25.766441	602.015
1000_4_0	905	178.192535	613.345
1000_4_1	920	219.183273	608.259
1000_4_2	937	257.793365	614.801
1000_4_3	948	97.396820	610.057
1000_4_4	934	177.487808	603.15
1000_4_5	961	330.394012	614.617
1000_4_6	869	3.221841	608.798
1000_4_7	919	296.501434	611.159
1000_4_8	930	66.929779	617.373
1000_4_9	927	559.632751	616.364
200_20_0	166	0.144950	601.473
200_20_1	161	0.281481	600.201
200_20_2	173	0.180419	600.18
200_20_3	156	0.375094	600.383
200_20_4	173	1.067751	600.238
200_20_5	175	83.019470	601.453
200_20_6	170	0.167808	600.55
200_20_7	171	0.188833	600.839
200_20_8	145	0.090895	600.031
200_20_9	176	0.191623	600.573
200_4_0	186	8.668926	610.002
200_4_1	184	322.112640	601.872
200_4_2	175	0.237422	600.086
200_4_3	178	1.537495	602.109
200_4_4	182	0.214293	604.194
200_4_5	193	1.128213	606.62
200_4_6	189	0.673246	611.68
200_4_7	183	9.428122	602.484
200_4_8	191	2.669858	602.911
200_4_9	185	0.167526	602.007
400_20_0	336	0.450705	600.043
400_20_1	332	0.397175	600.073
400_20_2	297	0.222092	600.527
400_20_3	341	0.749115	602.607
400_20_4	337	1.272029	603.556
400_20_5	371	145.072235	601.607
400_20_6	350	0.310731	600.906
400_20_7	365	1.205192	603.199
400_20_8	334	0.223178	600.058
400_20_9	352	0.229759	601.463
400_4_0	387	253.286697	608.24
400_4_1	373	135.119141	603.724
400_4_2	366	185.462860	606.499
400_4_3	378	383.022491	608.245
400_4_4	381	139.163971	607.638
400_4_5	377	47.924854	603.979
400_4_6	382	20.639023	601.499
400_4_7	391	326.226318	611.536
400_4_8	378	86.653564	607.582
400_4_9	378	261.732941	608.444
500_20_0	438	0.395967	600.15
500_20_1	410	0.854529	600.217
500_20_2	435	0.396045	603.165
500_20_3	435	0.893386	606.632
500_20_4	438	0.355715	601.679
500_20_5	407	0.327854	600.065
500_20_6	458	19.079729	606.023
500_20_7	428	0.627364	600.654
500_20_8	415	0.321204	601.68
500_20_9	436	85.524521	602.096
500_4_0	494	57.315182	610.148
500_4_1	484	526.286621	601.951
500_4_2	442	43.673885	625.987
500_4_3	490	108.981567	602.971
500_4_4	459	2.168386	605.595
500_4_5	477	68.889442	602.941
500_4_6	433	2.491754	605.602
500_4_7	492	403.657532	618.097
500_4_8	469	391.530945	610.2
500_4_9	471	188.924774	603.52
600_20_0	505	0.503316	603.255
600_20_1	519	9.155163	602.337
600_20_2	491	1.578217	600.768
600_20_3	540	0.266305	605.717
600_20_4	525	18.032173	602.307
600_20_5	552	150.180313	609.573
600_20_6	555	491.498138	600.324
600_20_7	517	0.754435	603.542
600_20_8	536	606.903442	606.903
600_20_9	513	0.511099	609.647
600_4_0	584	40.575390	609.495
600_4_1	553	470.844116	609.177
600_4_2	588	236.991119	601.538
600_4_3	558	118.615517	617.097
600_4_4	555	442.368286	601.129
600_4_5	594	494.463867	608.722
600_4_6	559	553.254639	609.055
600_4_7	574	241.363892	612.173
600_4_8	525	54.867161	604.052
600_4_9	575	43.727474	605.338
800_20_0	702	4.778563	609.895
800_20_1	713	113.666908	611.167
800_20_2	648	0.770312	600.617
800_20_3	737	342.410278	609.288
800_20_4	743	78.801216	604.18
800_20_5	711	405.918488	603.835
800_20_6	683	183.331497	606.753
800_20_7	726	21.096170	603.12
800_20_8	700	1.945915	617.604
800_20_9	730	277.103729	602.262
800_4_0	772	536.641846	606.119
800_4_1	697	15.465483	600.053
800_4_2	707	87.254181	615.443
800_4_3	752	457.037811	601.061
800_4_4	738	252.251602	628.805
800_4_5	775	231.993622	601.971
800_4_6	726	262.066589	601.339
800_4_7	718	19.982637	601.006
800_4_8	779	278.794312	601.173
800_4_9	733	97.303673	606.151
