file	obj	time_best	time
1000_20_0	882	1.120198	602.53
1000_20_1	876	32.208752	602.612
1000_20_2	843	44.928989	600.76
1000_20_3	870	384.247345	601.868
1000_20_4	881	50.027691	603.139
1000_20_5	945	256.080536	600.095
1000_20_6	872	457.880676	601.11
1000_20_7	855	0.664939	601.805
1000_20_8	937	267.729614	602.061
1000_20_9	929	89.819145	601.616
1000_4_0	905	416.274017	600.103
1000_4_1	918	276.932404	600.557
1000_4_2	941	506.127625	603.178
1000_4_3	945	35.442898	600.915
1000_4_4	923	261.108795	603.149
1000_4_5	958	424.053253	602.314
1000_4_6	870	23.363335	602.206
1000_4_7	906	300.968994	600.132
1000_4_8	938	581.559082	600.968
1000_4_9	928	156.705627	601.013
200_20_0	166	0.079090	600.438
200_20_1	160	0.100130	600.314
200_20_2	173	0.083610	600.16
200_20_3	156	0.234298	600.359
200_20_4	173	0.506878	600.362
200_20_5	175	566.055908	600.283
200_20_6	170	0.079229	600.14
200_20_7	171	0.072521	600.451
200_20_8	143	0.044217	600.019
200_20_9	176	5.739666	600.781
200_4_0	186	6.524021	602.385
200_4_1	183	0.789796	600.761
200_4_2	175	4.672256	600.507
200_4_3	178	1.814641	600.61
200_4_4	182	5.330580	602.269
200_4_5	193	17.866184	600.516
200_4_6	189	0.185201	600.386
200_4_7	183	29.219067	602.661
200_4_8	191	2.257630	602.252
200_4_9	185	0.307367	603.849
400_20_0	336	0.458520	600.551
400_20_1	332	0.168004	603.185
400_20_2	295	0.086734	600.815
400_20_3	341	0.615741	600.919
400_20_4	337	0.122883	602.708
400_20_5	370	30.573721	600.854
400_20_6	350	0.381214	600.852
400_20_7	365	1.267803	600.253
400_20_8	334	0.306644	601.304
400_20_9	352	0.391349	600.799
400_4_0	387	81.446548	601.604
400_4_1	372	417.594604	602.521
400_4_2	366	324.747009	600.983
400_4_3	380	374.783264	600.923
400_4_4	381	472.141113	600.62
400_4_5	376	25.219494	601.994
400_4_6	382	53.360252	600.494
400_4_7	391	147.715363	603.132
400_4_8	376	1.071316	600.041
400_4_9	377	21.115063	601.093
500_20_0	438	0.421183	600.02
500_20_1	410	0.332318	601.208
500_20_2	435	16.930792	602.048
500_20_3	435	2.240775	600.701
500_20_4	438	0.869688	600.341
500_20_5	407	0.120505	600.08
500_20_6	457	2.526682	602.547
500_20_7	428	13.878107	600.801
500_20_8	415	1.474552	600.393
500_20_9	436	387.103668	601.704
500_4_0	490	153.765808	604.824
500_4_1	480	247.323608	601.123
500_4_2	441	537.502563	600.456
500_4_3	488	75.969894	601.799
500_4_4	459	7.689390	602.602
500_4_5	477	78.228355	601.058
500_4_6	433	1.673172	600.789
500_4_7	491	49.444542	601.79
500_4_8	468	50.754864	600.489
500_4_9	471	251.113419	601.123
600_20_0	505	2.026401	603.01
600_20_1	519	347.614288	602.129
600_20_2	491	2.375695	600.066
600_20_3	539	121.192894	602.997
600_20_4	525	22.151371	602.087
600_20_5	550	148.443451	602.235
600_20_6	555	8.809985	600.276
600_20_7	517	0.286748	600.407
600_20_8	535	342.966003	601.349
600_20_9	513	56.469246	601.402
600_4_0	582	333.583099	601.74
600_4_1	551	493.781006	601.7
600_4_2	584	445.785736	601.683
600_4_3	558	505.914276	601.405
600_4_4	555	515.297729	601.196
600_4_5	586	106.042107	601.223
600_4_6	558	366.372589	602.906
600_4_7	572	401.422485	601.301
600_4_8	525	67.594009	600.292
600_4_9	579	530.280029	600.167
800_20_0	702	55.854149	600.159
800_20_1	712	50.812733	601.698
800_20_2	648	0.300157	601.317
800_20_3	736	545.734314	603.761
800_20_4	740	190.692032	601.73
800_20_5	691	276.709534	605.221
800_20_6	676	549.470947	601.676
800_20_7	722	436.089355	601.074
800_20_8	700	0.718905	601.517
800_20_9	732	6.089692	601.26
800_4_0	773	153.431931	602.798
800_4_1	697	369.484589	603.031
800_4_2	705	17.084234	600.981
800_4_3	750	135.609848	603.407
800_4_4	725	192.239807	602.418
800_4_5	781	201.186935	602.891
800_4_6	721	12.143130	603.625
800_4_7	718	169.737091	601.381
800_4_8	774	500.224945	601.305
800_4_9	733	97.410927	600.572
