sigma,n,len_B,k,Rand-Sample,Approx,LS2,LS4,ILP,Adapt-Cmsa
20,500,107,363,412,266,433,428,436.0,436
20,800,168,620,688,611,727,725,0.0,731
4,800,288,515,708,770,757,743,0.0,779
4,200,108,94,170,181,184,177,119.0,186
20,500,297,198,356,312,405,404,0.0,407
4,600,254,344,517,554,562,546,0.0,571
4,200,93,119,179,174,186,185,164.0,189
4,800,547,242,629,673,695,676,0.0,697
4,1000,490,502,829,881,920,894,0.0,938
20,200,109,85,149,84,160,160,161.0,161
4,1000,344,627,864,920,929,915,0.0,945
4,600,245,358,524,565,564,556,0.0,576
20,400,176,225,311,196,352,349,306.0,352
4,600,376,241,492,542,545,536,0.0,552
20,600,181,435,503,419,550,545,463.0,553
4,600,171,448,557,588,586,578,0.0,594
4,600,266,354,525,570,567,554,0.0,591
4,1000,668,314,776,816,872,847,0.0,856
4,500,326,174,398,418,441,431,0.0,441
4,800,442,361,653,713,726,708,0.0,738
20,1000,372,612,771,667,865,861,0.0,872
20,400,103,311,348,308,367,364,371.0,371
4,800,397,420,674,728,745,723,0.0,756
4,400,136,265,358,356,384,379,0.0,391
20,600,85,500,535,380,549,547,555.0,555
4,500,183,297,431,446,463,453,0.0,470
20,500,275,210,360,351,408,402,0.0,410
4,600,305,299,504,510,557,544,0.0,563
20,600,139,453,507,278,527,524,491.0,538
20,200,88,114,159,100,172,169,173.0,173
4,400,236,186,343,367,375,364,0.0,387
20,500,224,284,387,292,438,436,346.0,438
4,1000,609,394,808,909,905,889,0.0,918
20,1000,450,545,748,696,869,863,0.0,872
4,1000,327,650,876,923,948,928,0.0,962
20,200,102,92,145,82,155,154,156.0,156
4,600,291,292,496,509,552,534,0.0,552
20,600,329,291,448,352,523,518,0.0,525
4,1000,485,536,852,917,930,910,0.0,957
20,800,304,476,622,470,700,692,0.0,702
20,800,246,573,668,588,728,727,0.0,738
4,200,114,84,168,153,180,179,148.0,183
4,400,172,221,341,339,374,360,0.0,381
20,400,144,273,333,246,363,358,291.0,366
20,200,51,146,168,117,170,171,173.0,173
20,800,202,601,682,538,736,732,0.0,744
4,800,224,565,716,735,765,741,0.0,779
20,500,253,254,376,302,425,421,0.0,428
4,500,313,190,407,400,448,441,0.0,459
20,400,229,183,305,280,347,343,236.0,350
4,400,180,216,343,368,372,370,0.0,382
20,600,395,231,443,347,516,505,0.0,517
20,800,297,538,645,435,710,708,0.0,713
20,400,188,201,297,209,333,331,304.0,336
4,400,172,216,337,335,366,355,0.0,370
20,600,194,411,493,352,534,534,0.0,541
4,500,190,316,444,476,476,463,0.0,492
20,600,269,334,451,411,509,502,0.0,513
20,200,115,93,152,115,165,165,166.0,166
20,1000,433,560,758,719,876,875,0.0,880
4,1000,652,364,801,862,903,876,0.0,905
20,200,72,147,169,82,171,172,175.0,175
4,500,244,262,424,460,470,464,0.0,473
20,400,287,100,272,228,297,296,176.0,297
20,200,80,123,162,73,169,169,170.0,170
4,200,103,86,166,169,181,178,135.0,182
20,1000,331,699,828,742,931,926,0.0,938
4,400,216,183,329,345,364,355,0.0,360
4,500,211,296,433,412,476,464,0.0,484
4,800,360,464,696,701,763,750,0.0,779
20,200,128,58,136,101,144,144,145.0,143
20,500,294,207,360,314,411,407,0.0,415
20,1000,382,602,769,744,878,877,0.0,881
20,800,223,543,631,463,681,675,0.0,676
4,200,156,60,168,178,183,180,0.0,185
4,600,362,246,493,553,549,532,0.0,551
20,400,217,181,295,210,327,331,258.0,334
20,400,180,218,304,175,337,331,295.0,338
4,400,143,245,347,344,366,361,0.0,377
4,200,93,95,164,152,174,174,147.0,178
20,800,222,578,668,549,728,722,0.0,736
4,600,196,393,531,558,569,554,0.0,578
4,500,343,154,394,420,433,421,0.0,433
4,800,492,304,642,699,715,696,0.0,715
20,200,69,128,163,111,170,169,171.0,171
20,500,201,313,403,356,451,442,379.0,458
20,1000,202,792,870,847,933,930,0.0,938
20,500,193,298,390,337,432,427,354.0,435
4,200,96,99,169,170,181,176,159.0,183
4,200,108,102,175,176,186,185,158.0,191
20,1000,394,607,772,740,871,873,0.0,882
20,800,300,509,636,509,704,699,0.0,712
4,400,175,220,342,309,367,358,0.0,376
20,600,355,241,428,377,489,484,0.0,491
4,200,94,109,175,183,187,182,168.0,193
4,500,261,249,418,436,459,450,0.0,461
4,1000,560,456,825,922,928,893,0.0,931
4,800,448,345,646,691,726,709,0.0,728
4,1000,581,449,822,924,916,888,0.0,920
4,200,147,54,161,164,173,170,0.0,175
4,400,231,184,336,339,374,361,0.0,378
20,400,224,173,290,216,330,330,223.0,332
20,600,232,370,465,387,515,507,0.0,519
4,800,476,320,640,672,725,705,0.0,729
4,500,144,361,459,480,476,473,0.0,493
20,800,299,480,613,525,695,688,0.0,700
20,400,204,208,303,223,339,337,276.0,341
20,800,585,244,564,509,645,640,0.0,648
4,400,242,166,340,332,366,363,0.0,378
20,500,259,267,389,275,432,428,0.0,438
20,1000,210,804,882,756,941,936,0.0,946
20,1000,539,461,723,543,850,844,0.0,855
4,500,241,282,437,464,469,461,0.0,493
4,1000,472,517,834,915,930,900,0.0,921
20,200,55,142,168,119,174,174,176.0,176
20,600,318,284,440,347,501,501,0.0,505
4,600,400,196,476,514,524,513,0.0,522
20,1000,535,452,719,754,841,835,0.0,843
20,500,279,238,376,319,432,429,0.0,435
4,800,556,254,634,671,711,696,0.0,700
