sigma,n,len_B,k,Rand-Sample,Approx,LS2,LS4,ILP,Adapt-Cmsa
8,64,30,43,58,58,58,58,58,58
12,48,27,22,35,35,35,34,35,35
6,48,11,26,36,36,36,35,36,36
12,48,14,39,43,43,43,43,43,43
20,80,35,49,68,70,69,68,70,69
8,16,4,9,8,8,8,8,8,8
8,32,13,15,25,25,25,25,25,25
12,48,24,31,43,43,43,42,43,43
24,48,14,32,34,34,34,34,34,34
32,64,20,45,50,50,50,50,50,50
8,32,6,21,22,22,22,22,22,22
16,64,36,30,51,51,51,50,51,51
8,64,28,34,54,55,53,55,55,55
8,32,19,9,24,24,24,24,24,24
8,32,11,20,28,28,28,28,28,28
32,64,41,26,52,52,52,52,52,52
16,32,13,14,24,24,24,24,24,24
8,16,7,8,13,13,13,12,13,13
24,48,18,25,35,35,35,35,35,35
8,32,16,15,22,21,22,21,22,22
8,16,9,8,14,13,14,14,14,14
40,80,30,45,59,59,59,58,59,59
8,64,28,43,58,58,59,59,59,59
2,16,7,10,15,15,15,15,15,15
6,48,20,19,35,35,35,35,35,35
4,16,9,6,13,13,13,13,13,13
8,64,21,48,58,58,58,58,59,59
16,32,11,21,26,26,26,26,26,26
24,48,25,20,36,36,36,35,36,36
4,16,9,9,16,15,16,16,16,16
40,80,40,38,60,60,59,59,60,60
12,48,26,27,37,37,37,37,37,37
2,16,7,9,14,14,14,14,14,14
16,64,43,27,51,51,51,51,51,51
40,80,17,67,63,62,63,63,64,64
16,64,22,39,51,51,51,51,51,51
8,64,20,49,60,61,61,61,62,62
8,32,14,16,25,25,25,25,25,25
16,32,14,15,24,24,24,24,24,24
16,32,9,19,22,22,22,22,22,22
8,32,13,20,28,28,26,26,28,28
2,16,9,7,14,14,14,14,14,14
4,32,9,21,29,29,29,27,29,29
20,80,67,19,63,64,65,65,65,65
4,16,4,10,13,13,13,13,13,13
4,16,8,11,15,15,15,15,15,15
20,80,19,69,71,70,70,67,71,71
6,48,14,34,45,45,45,45,45,45
8,64,37,30,53,55,56,56,56,56
4,32,10,22,29,29,28,28,29,29
4,32,15,22,32,32,32,32,32,32
16,64,26,36,52,52,51,51,52,52
10,80,21,63,72,71,72,72,72,72
2,16,6,7,12,12,12,12,12,12
12,48,28,15,36,37,37,37,37,37
2,16,8,8,14,14,14,14,14,14
2,16,3,9,12,12,12,12,12,12
2,16,7,10,15,15,15,14,15,15
12,48,32,13,35,35,34,35,35,35
16,64,33,30,49,50,50,50,50,50
4,16,6,13,15,15,15,15,15,15
32,64,22,40,47,47,46,46,47,47
4,16,6,9,14,14,14,13,14,14
4,16,8,10,15,14,15,14,15,15
4,32,22,10,25,25,25,25,25,25
10,80,16,63,69,67,69,68,69,69
40,80,41,48,64,65,65,65,65,65
8,16,8,7,13,13,13,13,13,13
8,64,39,27,52,53,53,53,55,55
4,32,17,10,24,24,24,23,24,24
6,48,25,19,40,40,40,40,40,40
10,80,31,46,66,67,67,66,68,68
16,64,34,34,54,55,56,56,56,56
20,80,55,25,60,62,61,60,62,62
24,48,18,32,34,32,34,33,34,34
40,80,42,43,65,67,67,67,67,67
8,64,23,44,57,58,58,57,58,58
20,80,40,33,57,57,57,57,57,57
32,64,32,27,43,43,44,43,44,44
8,32,13,17,27,26,27,25,27,27
8,32,18,13,27,27,27,26,27,27
8,32,21,9,26,26,26,25,26,26
4,16,8,7,13,13,13,13,13,13
2,16,4,6,10,10,10,10,10,10
6,48,15,35,46,47,47,45,47,47
8,64,38,27,53,56,56,55,57,57
6,48,27,23,44,44,44,43,45,45
20,80,36,43,61,63,63,63,63,63
16,32,15,25,27,27,27,27,27,27
6,48,15,36,43,43,43,43,43,43
6,48,22,25,43,45,45,44,45,45
32,64,37,30,50,50,50,50,50,50
8,16,10,6,12,12,11,11,12,12
16,64,37,29,50,51,49,50,51,51
16,64,27,37,52,52,52,52,52,52
16,32,16,15,23,23,23,23,23,23
24,48,27,17,36,36,35,35,36,36
4,32,12,22,26,26,26,26,26,26
8,16,6,10,12,12,12,12,12,12
20,80,49,34,62,62,62,61,62,62
6,48,17,35,45,45,45,45,45,45
8,64,20,30,46,46,45,45,46,46
16,32,20,12,24,24,24,24,24,24
6,48,26,23,44,46,45,45,46,46
16,32,12,21,24,24,24,24,24,24
8,16,11,4,14,14,14,14,14,14
12,48,23,27,41,41,41,40,41,41
8,16,5,10,10,10,10,10,10,10
6,48,26,19,39,39,39,38,40,40
6,48,24,25,39,38,38,38,39,39
4,32,9,27,30,30,30,30,30,30
32,64,31,31,46,47,47,47,47,47
2,16,6,13,16,16,16,16,16,16
12,48,19,25,36,36,36,36,36,36
20,80,36,46,61,61,61,61,61,61
20,80,20,55,60,60,59,59,60,60
2,16,6,10,15,15,15,15,15,15
32,64,36,33,48,48,48,48,48,48
24,48,19,25,36,36,36,36,36,36
8,16,6,12,13,12,13,13,13,13
